feature,coef,exp,abs_value,,,Protected,Both,Non-Protected
Biodata_05,-0.17,0.84,0.17,,,average_S13,Biodata_04,average_S12
Biodata_07,-0.13,0.88,0.13,,,average_S8,Biodata_09,Biodata_11
average_S10,0.12,1.13,0.12,,,Biodata_20,average_S5,
Biodata_14,0.12,1.13,0.12,,,average_S9,Biodata_02,
average_S13,-0.07,0.93,0.07,,,,,
Biodata_04,-0.07,0.93,0.07,,,,,
Biodata_09,0.07,1.07,0.07,,,,,
average_S8,-0.06,0.95,0.06,,,,,
Biodata_20,-0.05,0.95,0.05,,,,,
average_S5,0.05,1.05,0.05,,,,,
Biodata_02,-0.05,0.95,0.05,,,,,
average_S9,0.05,1.05,0.05,,,,,
Biodata_19,0.03,1.03,0.03,,,,,
Biodata_11,0.03,1.03,0.03,,,,,
average_S4,0.03,1.03,0.03,,,,,
average_S2,0.02,1.02,0.02,,,,,
average_S11,0.02,1.02,0.02,,,,,
Biodata_13,-0.02,0.98,0.02,,,,,
Biodata_03,0.02,1.02,0.02,,,,,
Biodata_12,0.02,1.02,0.02,,,,,
average_S12,0.02,1.02,0.02,,,,,
Biodata_16,-0.02,0.98,0.02,,,,,
Biodata_18,0.02,1.02,0.02,,,,,
Biodata_01,-0.02,0.98,0.02,,,,,
average_S1,-0.02,0.98,0.02,,,,,
average_S3,-0.01,0.99,0.01,,,,,
SJ_Sum,0.01,1.01,0.01,,,,,
Biodata_17,-0.01,0.99,0.01,,,,,
Biodata_06,0.01,1.01,0.01,,,,,
Biodata_10,0.01,1.01,0.01,,,,,
average_S6,0.01,1.01,0.01,,,,,
average_S7,0.01,1.01,0.01,,,,,
Biodata_08,0.00,1.00,0.00,,,,,
Biodata_15,0.00,1.00,0.00,,,,,
